address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
15 Hudson Yards # 66C,New York,NY,10001,4855000,1885.0,2.0,3.0,238,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-66C-New-York-NY-10001/2096214556_zpid/
50 W 30th St # 15B,New York,NY,10001,2895000,1310.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-W-30th-St-15B-New-York-NY-10001/2091089984_zpid/
1182 Broadway APT 7A,New York,NY,10001,1900000,1015.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1182-Broadway-APT-7A-New-York-NY-10001/2091995734_zpid/
408 8th Ave APT 5C,NEW YORK,NY,10001,947500,712.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/408-8th-Ave-APT-5C-New-York-NY-10001/31503395_zpid/
420 W 25th St APT 6H,NEW YORK,NY,10001,1775000,1257.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/420-W-25th-St-APT-6H-New-York-NY-10001/83934815_zpid/
50 W 30th St # 8A,New York,NY,10001,2495000,1266.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-W-30th-St-8A-New-York-NY-10001/2092065214_zpid/
420 W 25th St APT 1A,NEW YORK,NY,10001,1850000,1183.0,1.0,2.0,403,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/420-W-25th-St-APT-1A-New-York-NY-10001/89335782_zpid/
252 7th Ave APT 7W,NEW YORK,NY,10001,2750000,1508.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-7W-New-York-NY-10001/55501470_zpid/
250 W 27th St APT 6K,New York,NY,10001,1250000,NA,1.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/250-W-27th-St-APT-6K-New-York-NY-10001/72515631_zpid/
420 W 25th St APT 7B,NEW YORK,NY,10001,1300000,1036.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/420-W-25th-St-APT-7B-New-York-NY-10001/89333552_zpid/
11 W 30th St APT 9R,New York,NY,10001,3795000,2946.0,2.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/11-W-30th-St-APT-9R-New-York-NY-10001/123824430_zpid/
261 W 25th St # 7E,New York,NY,10001,1675000,783.0,1.0,1.0,65,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-7E-New-York-NY-10001/219650847_zpid/
284 5th Ave # 7E,New York,NY,10001,1150000,950.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/284-5th-Ave-7E-New-York-NY-10001/244715105_zpid/
430 W 34th St APT 17J,New York,NY,10001,435000,NA,0.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/430-W-34th-St-APT-17J-New-York-NY-10001/72538115_zpid/
225 W 25th St APT 1E,New York,NY,10001,865000,750.0,1.0,1.0,43,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/225-W-25th-St-APT-1E-New-York-NY-10001/121711918_zpid/
261 W 25th St # 6A,New York,NY,10001,1460000,720.0,1.0,1.0,53,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-6A-New-York-NY-10001/219650839_zpid/
225 W 25th St APT 5L,New York,NY,10001,899000,730.0,1.0,1.0,39,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/225-W-25th-St-APT-5L-New-York-NY-10001/79496013_zpid/
315 7th Ave APT 2D,New York,NY,10001,1498000,970.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/315-7th-Ave-APT-2D-New-York-NY-10001/31503884_zpid/
261 W 25th St # 2E,New York,NY,10001,1450000,783.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-2E-New-York-NY-10001/219650824_zpid/
261 W 25th St # GRDNC,New York,NY,10001,1395000,714.0,2.0,1.0,526,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-GRDNC-New-York-NY-10001/2096177539_zpid/
245 10th Ave,New York,NY,10001,4950000,2524.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/245-10th-Ave-New-York-NY-10001/2143505214_zpid/
36 W 35th St APT 2D,New York,NY,10001,449500,450.0,0.0,1.0,92,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/36-W-35th-St-APT-2D-New-York-NY-10001/244871772_zpid/
15 Hudson Yards # 66B,New York,NY,10001,7935000,2320.0,2.0,3.0,161,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-66B-New-York-NY-10001/2091911709_zpid/
520 W 28th St # 26,New York,NY,10001,5295000,1717.0,2.0,3.0,204,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/520-W-28th-St-26-New-York-NY-10001/2100711259_zpid/
7th Ave APT 6G,NEW YORK,NY,10001,NA,1586.0,NA,NA,114,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245102995_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
