,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
324,305 2nd Ave APT 542,NEW YORK,NY,10003,3825000.0,2048.0,3.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/305-2nd-Ave-APT-542-New-York-NY-10003/63866698_zpid/
325,220 E 20th St # 5,New York,NY,10003,7245000.0,3378.0,4.0,5.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/220-E-20th-St-5-New-York-NY-10003/2097115798_zpid/
326,200 E 16th St APT 3C,New York,NY,10003,440000.0,500.0,0.0,1.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/200-E-16th-St-APT-3C-New-York-NY-10003/244691197_zpid/
327,215 E 19th St # 16A,New York,NY,10003,9385000.0,3188.0,3.0,4.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-E-19th-St-16A-New-York-NY-10003/2092558332_zpid/
328,60 E 9th St APT 431,New York,NY,10003,455000.0,,0.0,1.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/60-E-9th-St-APT-431-New-York-NY-10003/244852814_zpid/
329,355 E 19th St # TH,New York,NY,10003,3700000.0,2663.0,3.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/355-E-19th-St-TH-New-York-NY-10003/2091479324_zpid/
330,25 5th Ave APT 4F,NEW YORK,NY,10003,2745000.0,988.0,2.0,1.0,35.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-5th-Ave-APT-4F-New-York-NY-10003/89334607_zpid/
331,230 E 20th St # 44,New York,NY,10003,2275000.0,995.0,2.0,2.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/230-E-20th-St-44-New-York-NY-10003/2094882488_zpid/
332,240 Park Ave S APT 8B,NEW YORK,NY,10003,4000000.0,2139.0,3.0,4.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/240-Park-Ave-S-APT-8B-New-York-NY-10003/97501932_zpid/
333,8 Union Sq S # 6B,NEW YORK,NY,10003,2775000.0,1450.0,2.0,2.0,57.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/8-Union-Sq-S-6B-New-York-NY-10003/97496873_zpid/
334,215 E 19th St # 12B,New York,NY,10003,4270000.0,1804.0,2.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-E-19th-St-12B-New-York-NY-10003/2092558350_zpid/
335,225 E 19th St # 104,New York,NY,10003,3390000.0,1647.0,3.0,2.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/225-E-19th-St-104-New-York-NY-10003/2092558341_zpid/
336,225 E 19th St # 206,New York,NY,10003,2830000.0,1393.0,2.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/225-E-19th-St-206-New-York-NY-10003/2090184717_zpid/
337,215 E 19th St # 6B,New York,NY,10003,3300000.0,1520.0,2.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-E-19th-St-6B-New-York-NY-10003/2090262180_zpid/
338,215 E 19th St # 3A,New York,NY,10003,2395000.0,1325.0,1.0,2.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-E-19th-St-3A-New-York-NY-10003/2090262181_zpid/
339,105 E 19th St # PENTHOUSEA,New York,NY,10003,2790000.0,,3.0,2.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/105-E-19th-St-PENTHOUSEA-New-York-NY-10003/2091250264_zpid/
340,60 E 8th St APT 32A,New York,NY,10003,1599000.0,445151.0,1.0,1.0,,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/60-E-8th-St-APT-32A-New-York-NY-10003/244701917_zpid/
